0	0	0	0	0	0	0	0	0
0.01	0	0	0.01	0	0	0.01	0	0
0.02	0	0	0.02	0	0	0.02	0	0
0.03	0	0	0.03	0	0	0.03	0	0
0.0338	0	0	0.0338	0	0	0.0379	0	0
0.0339	0	0	0.0339	0	0.05	0.038	0	0.05
0.034	0	0	0.034	0	0.1	0.0381	0	0.097
0.04	0	0	0.04	0	0.1	0.04	0	0.097
0.05	0	0	0.05	0	0.1	0.05	0	0.097
0.06	0	0	0.06	0	0.1	0.06	0	0.097
0.07	0	0	0.07	0	0.1	0.07	0	0.097
0.08	0	0	0.08	0	0.1	0.08	0	0.097
0.087	0	0	0.087	0	0.1	0.0829	0	0.097
0.0871	0	0	0.0871	0	0.05	0.083	0	0.05
0.0872	0	0	0.0872	0	0	0.0831	0	0
0.09	0	0	0.09	0	0	0.09	0	0
0.1	0	0	0.1	0	0	0.1	0	0
0.11	0	0	0.11	0	0	0.11	0	0
0.12	0	0	0.12	0	0	0.12	0	0
