1	0	0	1	0	16.8	1	0	18.2	1	0	21	1	0	32.2
4	0	0	4	0	14	4	0	15.4	4	0	18.2	4	0	29.4
7	0	0	7	0	9.8	7	0	11.2	7	0	14	7	0	26.6
11	0	0	11	0	9.8	11	0	11.2	11	0	14	11	0	25.2
15	0	0	15	0	9.1	15	0	9.8	15	0	12.6	15	0	21
21	0	0	21	0	7.7	21	0	8.4	21	0	11.2	21	0	18.2
25	0	0	25	0	3.5	25	0	4.2	25	0	7	25	0	14
32	0	0	32	0	0.7	32	0	1.4	32	0	4.2	32	0	5.6
40	0	0	40	0	0.7	40	0	1.4	40	0	4.2	40	0	4.2
50	0	0	50	0	0.7	50	0	1.4	50	0	4.2	50	0	4.2
67	0	0	67	0	2.1	67	0	2.8	67	0	5.6	67	0	5.6
74	0	0	74	0	2.1	74	0	2.8	74	0	5.6	74	0	5.6
80	0	0	80	0	3.5	80	0	4.2	80	0	7	80	0	7
