0	0	0	0	0	0	0	0	0
0.01	0	0	0.01	0	0	0.01	0	0
0.02	0	0	0.02	0	0	0.02	0	0
0.03	0	0	0.03	0	0	0.03	0	0
0.0349	0	0	0.0349	0	0	0.0349	0	0
0.035	0	0	0.035	0	0	0.035	0	0.05
0.0351	0	0	0.0351	0	0	0.0351	0	0.1
0.036	0	0	0.036	0	0	0.036	0	0.1
0.0369	0	0	0.0369	0	0	0.0369	0	0.1
0.037	0	0	0.037	0	0.05	0.037	0	0.1
0.0371	0	0	0.0371	0	0.098	0.0371	0	0.1
0.04	0	0	0.04	0	0.098	0.04	0	0.1
0.0419	0	0	0.0419	0	0.098	0.0419	0	0.1
0.042	0	0	0.042	0	0.098	0.042	0	0.1
0.0421	0	0	0.0421	0	0.098	0.0421	0	0.1
0.0439	0	0	0.0439	0	0.098	0.0439	0	0.1
0.044	0	0	0.044	0	0.098	0.044	0	0.1
0.0441	0	0	0.0441	0	0.098	0.0441	0	0.1
0.05	0	0	0.05	0	0.098	0.05	0	0.1
0.06	0	0	0.06	0	0.098	0.06	0	0.1
0.07	0	0	0.07	0	0.098	0.07	0	0.1
0.0759	0	0	0.0759	0	0.098	0.0759	0	0.1
0.076	0	0	0.076	0	0.098	0.076	0	0.1
0.0761	0	0	0.0761	0	0.098	0.0761	0	0.1
0.0779	0	0	0.0779	0	0.098	0.0779	0	0.1
0.078	0	0	0.078	0	0.098	0.078	0	0.1
0.0781	0	0	0.0781	0	0.098	0.0781	0	0.1
0.08	0	0	0.08	0	0.098	0.08	0	0.1
0.0829	0	0	0.0829	0	0.098	0.0829	0	0.1
0.083	0	0	0.083	0	0.05	0.083	0	0.1
0.0831	0	0	0.0831	0	0	0.0831	0	0.1
0.0849	0	0	0.0849	0	0	0.0849	0	0.1
0.085	0	0	0.085	0	0	0.085	0	0.05
0.0851	0	0	0.0851	0	0	0.0851	0	0
0.09	0	0	0.09	0	0	0.09	0	0
0.1	0	0	0.1	0	0	0.1	0	0
0.11	0	0	0.11	0	0	0.11	0	0
0.012	0	0	0.012	0	0	0.012	0	0

